baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mgi_symbol	foldChange	absFoldChange	regulation	val.sig.up	val.sig.down	val.nsig.up	val.nsig.down	pred.sig.up	pred.sig.down	pred.nsig.up	pred.nsig.down	val.sig.up.freq	val.sig.down.freq	val.nsig.up.freq	val.nsig.down.freq	pred.sig.up.freq	pred.sig.down.freq	pred.nsig.up.freq	pred.nsig.down.freq
ENSMUSG00000037447	202.711952017026	1.66597351879306	0.342718069071044	4.86106123120026	1.16758128891371e-06	0.00299120475628097	Arid5a	3.17327712554179	3.17327712554179	Up					0	0	0	0					0	0	0	0
ENSMUSG00000034584	93.6695949240369	1.66595655155303	0.343837814737733	4.84518130393472	1.26496111002126e-06	0.00299120475628097	Exph5	3.17323980550079	3.17323980550079	Up					0	0	0	0					0	0	0	0
ENSMUSG00000085213	280.861060035503	-1.63704369917496	0.343690792915167	-4.76312933869901	1.90613578062613e-06	0.00314406507371054	Gm13091	0.321514632044841	3.11027835231005	Down					0	0	0	0					0	0	0	0
ENSMUSG00000025178	639.538227248408	1.63428042536948	0.330296721635955	4.94791597468758	7.5012274987153e-07	0.00299120475628097	Pi4k2a	3.10432676524693	3.10432676524693	Up					0	0	0	0					0	0	0	0
ENSMUSG00000024843	75.9163275228655	1.59659332754971	0.327813774331151	4.87042782386828	1.11356873072551e-06	0.00299120475628097	Chka	3.02428337772482	3.02428337772482	Up					0	0	0	0					0	0	0	0
ENSMUSG00000030104	197.999721683093	1.574252864128	0.342965951438883	4.59011414259452	4.43003686838395e-06	0.00372144620336377	Edem1	2.97781239190056	2.97781239190056	Up					0	0	0	0					0	0	0	0
ENSMUSG00000091154	47.6685843760518	1.56670919034276	0.343993850481492	4.55446859922009	5.25181685719223e-06	0.00410332743394835	Proscos	2.9622824170529	2.9622824170529	Up					0	0	0	0					0	0	0	0
ENSMUSG00000038894	1121.5398180785	1.56556496611877	0.335082225885476	4.67218146824012	2.98017474132538e-06	0.00372144620336377	Irs2	2.95993391551925	2.95993391551925	Up					0	0	0	0					0	0	0	0
ENSMUSG00000033107	188.436283356014	1.5539381949727	0.333202912693301	4.6636392893811	3.10665735663393e-06	0.00372144620336377	Rnf125	2.93617548367361	2.93617548367361	Up					0	0	0	0					0	0	0	0
ENSMUSG00000027438	1120.3584303028	1.54394405266997	0.336644868397856	4.58626938238457	4.51236319707294e-06	0.00372144620336377	Napb	2.91590567739381	2.91590567739381	Up				mmu-miR-541-5p	0	0	0	1					0	0	0	0
ENSMUSG00000023243	35.0723713339165	1.48841628496274	0.339760270399073	4.38078378974237	1.18253166450926e-05	0.00626952948558571	Kcnk5	2.80580799126339	2.80580799126339	Up					0	0	0	0					0	0	0	0
ENSMUSG00000018347	85.2690896452006	1.48394715605271	0.332289106993455	4.46583148475565	7.97583729418285e-06	0.00473605218528577	Zkscan6	2.79712970856275	2.79712970856275	Up					0	0	0	0					0	0	0	0
ENSMUSG00000028834	14078.6720716515	1.46675384455778	0.341056040512075	4.300624150669	1.7031771901026e-05	0.00785826779522646	Trim63	2.76399277498326	2.76399277498326	Up					0	0	0	0					0	0	0	0
ENSMUSG00000040414	948.906002360314	1.4660352951301	0.334179097607572	4.38697484560114	1.14938076274222e-05	0.00626952948558571	Slc25a28	2.76261648209946	2.76261648209946	Up					0	0	0	0					0	0	0	0
ENSMUSG00000021477	2380.82726361735	1.46066591211917	0.329277425542829	4.43597343398563	9.16571518817805e-06	0.00523327084494243	Ctsl	2.75235376111221	2.75235376111221	Up					0	0	0	0					0	0	0	0
ENSMUSG00000019947	613.023322005308	1.45142883906713	0.320036494395484	4.53519790550366	5.75494965796141e-06	0.00427161138362186	Arid5b	2.73478769486421	2.73478769486421	Up					0	0	0	0					0	0	0	0
ENSMUSG00000025139	1615.79651522766	1.45005164551404	0.313028852385319	4.63232585259941	3.6158045226331e-06	0.00372144620336377	Tollip	2.73217831812036	2.73217831812036	Up					0	0	0	0					0	0	0	0
ENSMUSG00000031381	57.7102089378017	1.44888993904856	0.336805049325693	4.30186525394835	1.69366301344128e-05	0.00785826779522646	Piga	2.72997916197945	2.72997916197945	Up					0	0	0	0					0	0	0	0
ENSMUSG00000042628	958.286749516623	1.43960945805269	0.321074752651687	4.48372052353314	7.33527211864483e-06	0.00473605218528577	Zfyve1	2.71247428044127	2.71247428044127	Up					0	0	0	0					0	0	0	0
ENSMUSG00000037239	86.7220578513806	1.43503604888565	0.310474648493615	4.62207157926828	3.79926865410692e-06	0.00372144620336377	Spred3	2.70388922778832	2.70388922778832	Up					0	0	0	0					0	0	0	0
ENSMUSG00000040761	1115.95423374154	1.43339150871861	0.317285883917943	4.51766555454233	6.25251380600511e-06	0.00441993178334028	Spen	2.70080879783621	2.70080879783621	Up					0	0	0	0					0	0	0	0
ENSMUSG00000090698	84.9384076356782	1.41829956947272	0.339627956864527	4.17603892967639	2.96629076804334e-05	0.0104844253456199	Apold1	2.67270307456046	2.67270307456046	Up					0	0	0	0					0	0	0	0
ENSMUSG00000026064	1380.88408118675	1.41136293519603	0.292600240241233	4.82351939982152	1.41047041387449e-06	0.00299120475628097	Ptp4a1	2.65988327240954	2.65988327240954	Up					0	0	0	0					0	0	0	0
ENSMUSG00000097474	182.506836799619	1.40466098686972	0.327045017715488	4.29500805938497	1.74686990395738e-05	0.00785826779522646	Gm26584	2.64755560919788	2.64755560919788	Up					0	0	0	0					0	0	0	0
ENSMUSG00000038178	686.368929913319	1.40228902758268	0.343656154166544	4.08050026336237	4.49388783932212e-05	0.0118536694041184	Slc43a2	2.64320629466819	2.64320629466819	Up					0	0	0	0					0	0	0	0
ENSMUSG00000042485	1852.31816311275	1.40206075753555	0.34117651655059	4.10948787364047	3.96537535722922e-05	0.0111707196784359	Mustn1	2.64278810712525	2.64278810712525	Up					0	0	0	0					0	0	0	0
ENSMUSG00000026743	483.936147908562	1.40062758843792	0.293847719864035	4.76650827539516	1.87446034525397e-06	0.00314406507371054	Mllt10	2.64016407260271	2.64016407260271	Up					0	0	0	0					0	0	0	0
ENSMUSG00000090015	149.0865730819	1.39874876150692	0.342155225122697	4.08805319575445	4.35008415473092e-05	0.0117412725958146	Gm15446	2.63672801533331	2.63672801533331	Up					0	0	0	0					0	0	0	0
ENSMUSG00000044177	358.166530458687	1.39516459070203	0.333366910145411	4.1850722079569	2.85075466676504e-05	0.0104844253456199	Wfikkn2	2.63018556954316	2.63018556954316	Up					0	0	0	0					0	0	0	0
ENSMUSG00000044167	2471.16120072753	1.37858952835968	0.343643522832455	4.01168489077509	6.02869346180475e-05	0.0142057070540463	Foxo1	2.60014040302264	2.60014040302264	Up					0	0	0	0					0	0	0	0
ENSMUSG00000029673	288.600938733679	1.37029163143557	0.330325122435575	4.1483118853693	3.34935900446176e-05	0.0108089640046163	Auts2	2.58522819555444	2.58522819555444	Up					0	0	0	0					0	0	0	0
ENSMUSG00000029416	520.757210242138	1.36520115900707	0.336772975685329	4.05377289026503	5.03981465305655e-05	0.0127744099519143	Slc15a4	2.5761224299389	2.5761224299389	Up					0	0	0	0					0	0	0	0
ENSMUSG00000036452	558.343038394265	1.35660997884725	0.343595570062166	3.94827552230024	7.87161790573788e-05	0.0164035054286407	Arhgap26	2.56082732973055	2.56082732973055	Up				mmu-miR-541-5p	0	0	0	1					0	0	0	0
ENSMUSG00000028986	1649.85707228262	1.35594051990279	0.295463071199441	4.58920471650927	4.44937911220797e-06	0.00372144620336377	Klhl7	2.55963929552255	2.55963929552255	Up					0	0	0	0					0	0	0	0
ENSMUSG00000031939	430.654806619925	1.34701108539162	0.326466099517584	4.12603663100728	3.69068507761914e-05	0.0111632565093401	Taf1d	2.54384555983278	2.54384555983278	Up					0	0	0	0					0	0	0	0
ENSMUSG00000033313	17.8880350753705	1.34454433665914	0.342819629672379	3.92201676999673	8.78108788341343e-05	0.0169292531986068	Fbxl8	2.53949975832585	2.53949975832585	Up					0	0	0	0					0	0	0	0
ENSMUSG00000021579	1181.47158023228	1.33239797713117	0.329275390522477	4.04645477761636	5.19991646057147e-05	0.0128654599761972	Lrrc14b	2.51820891607251	2.51820891607251	Up					0	0	0	0					0	0	0	0
ENSMUSG00000004508	240.224667217571	1.33011807785807	0.287684760069287	4.62352638192485	3.77270733325141e-06	0.00372144620336377	Gab2	2.51423251882418	2.51423251882418	Up					0	0	0	0					0	0	0	0
ENSMUSG00000028967	1100.97184086715	1.32733932407353	0.319083069003192	4.15985507542003	3.18449593623266e-05	0.0107440550394031	Errfi1	2.50939455306324	2.50939455306324	Up					0	0	0	0					0	0	0	0
ENSMUSG00000042549	93.9879501668789	1.32565287743508	0.321623254690805	4.12175692553545	3.75993819782421e-05	0.0111632565093401	Map2k3os	2.50646289573772	2.50646289573772	Up					0	0	0	0					0	0	0	0
ENSMUSG00000051316	292.326660979068	1.32108118644283	0.316074688119565	4.1796487858689	2.91959650397204e-05	0.0104844253456199	Taf7	2.49853285017293	2.49853285017293	Up					0	0	0	0					0	0	0	0
ENSMUSG00000081953	187.678097432824	1.3124351907934	0.282752384698107	4.64164145669251	3.45652263963798e-06	0.00372144620336377	Gm12435	2.48360405238788	2.48360405238788	Up					0	0	0	0					0	0	0	0
ENSMUSG00000027487	429.326464134656	1.31193249138701	0.332924321087319	3.94063277534751	8.1266953919409e-05	0.0164035054286407	Cdk5rap1	2.48273880453226	2.48273880453226	Up					0	0	0	0					0	0	0	0
ENSMUSG00000035900	326.479864838193	1.29792816221815	0.2900931007458	4.4741779755579	7.6705832556031e-06	0.00473605218528577	Gramd4	2.45875529981609	2.45875529981609	Up					0	0	0	0					0	0	0	0
ENSMUSG00000028329	194.964106667638	1.29536613909282	0.337688372696671	3.83598087416645	0.000125064140871675	0.0206343467357208	Xpa	2.45439277159208	2.45439277159208	Up					0	0	0	0					0	0	0	0
ENSMUSG00000022358	20724.1315276301	1.28659273135292	0.343758236086849	3.74272554455356	0.000182035017562232	0.0251859945954153	Fbxo32	2.43951225606035	2.43951225606035	Up					0	0	0	0					0	0	0	0
ENSMUSG00000025337	619.338039190861	1.28642672099619	0.287721907184505	4.47107671982463	7.78267707907753e-06	0.00473605218528577	Sbds	2.4392315584849	2.4392315584849	Up					0	0	0	0					0	0	0	0
ENSMUSG00000051341	313.975311024226	1.28370435312522	0.322572283308596	3.97958665251203	6.90351942661612e-05	0.0155852602878262	Zfp52	2.43463306464378	2.43463306464378	Up					0	0	0	0					0	0	0	0
ENSMUSG00000100009	37.6468360673251	1.2800558491846	0.342223974492195	3.74040378405398	0.000183724867129333	0.0251859945954153	Gm7967	2.42848377771768	2.42848377771768	Up					0	0	0	0					0	0	0	0
ENSMUSG00000038415	11.3028301851764	1.27486546668126	0.329720986447457	3.86649779383823	0.000110409462270734	0.0198412841174159	Foxq1	2.41976252169733	2.41976252169733	Up					0	0	0	0					0	0	0	0
ENSMUSG00000104094	13.8327438424814	1.27331695905281	0.329777738037812	3.861136796647	0.000112860688894218	0.0198412841174159	Gm37314	2.41716667821241	2.41716667821241	Up					0	0	0	0					0	0	0	0
ENSMUSG00000029135	568.022390981467	1.26866505593204	0.335843707196782	3.77754600948557	0.000158381252366098	0.0242388627976776	Fosl2	2.40938518884597	2.40938518884597	Up					0	0	0	0					0	0	0	0
