mRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mgi_symbol	foldChange	absFoldChange	regulation	val.sig.up	val.sig.down	val.nsig.up	val.nsig.down	pred.sig.up	pred.sig.down	pred.nsig.up	pred.nsig.down	val.sig.up.freq	val.sig.down.freq	val.nsig.up.freq	val.nsig.down.freq	pred.sig.up.freq	pred.sig.down.freq	pred.nsig.up.freq	pred.nsig.down.freq
ENSMUSG00000061242	52.1089772586716	-2.09276467651498	0.343669113105187	-6.08947559356154	1.13281132212359e-09	6.68887325336578e-06	Gm9104	0.234431009931048	4.26564728059707	Down					0	0	0	0					0	0	0	0
ENSMUSG00000109881	126.572666659295	-2.08297655137823	0.318924686196222	-6.53124904259264	6.52234387714265e-11	1.15536799439705e-06	Gm45507	0.23602694098394	4.23680447592652	Down					0	0	0	0					0	0	0	0
ENSMUSG00000062456	110.986254271384	-1.99295045739464	0.337509077910711	-5.90487956570423	3.52904460865945e-09	1.25026992395587e-05	Rpl9-ps6	0.251224582089663	3.98050219322525	Down					0	0	0	0					0	0	0	0
ENSMUSG00000070498	130.398820754071	1.96659937874093	0.344437714898762	5.70959361787357	1.13246250923999e-08	2.79544014463397e-05	Tmem132b	3.90845757732028	3.90845757732028	Up		mmu-miR-205-5p	mmu-miR-455-3p,mmu-miR-466i-5p,mmu-miR-335-3p	NA	0	1	3	0					0	0	0	0
ENSMUSG00000059461	155.951913726963	-1.8960615460189	0.336677966438696	-5.63167695847464	1.78465730955797e-08	3.30544272047642e-05	Gm7331	0.268675831137668	3.72195740780124	Down					0	0	0	0					0	0	0	0
ENSMUSG00000083705	24.6072842118838	-1.81011275531848	0.341317847541653	-5.30330531601511	1.13724478630736e-07	0.000118500906733227	Gm8624	0.285168640446994	3.50669694406975	Down					0	0	0	0					0	0	0	0
ENSMUSG00000082035	63.0549232847271	-1.80117412573672	0.334970936252984	-5.3771056853016	7.5692747031409e-08	9.57729514938842e-05	Rpl17-ps8	0.286940969101304	3.48503736894732	Down					0	0	0	0					0	0	0	0
ENSMUSG00000068396	25.8490370450731	-1.79723296391461	0.342671221420025	-5.24477356594725	1.56474376938088e-07	0.00015398817294896	Rpl34-ps1	0.287725907595641	3.47552991788755	Down					0	0	0	0					0	0	0	0
ENSMUSG00000104649	18.6829790468191	-1.73864278224367	0.341591836966248	-5.0898253239449	3.58393499410442e-07	0.000264524268689857	Gm43712	0.299651441189571	3.33721071398873	Down					0	0	0	0					0	0	0	0
ENSMUSG00000083621	42.22823917252	-1.72359710258104	0.336958000202152	-5.11516895739823	3.13460246377353e-07	0.000256575447222832	Gm14586	0.302792819287158	3.3025882263464	Down					0	0	0	0					0	0	0	0
ENSMUSG00000078193	238.716036676107	-1.70597558646525	0.321053016612935	-5.31368807701314	1.07428447008083e-07	0.000118500906733227	Gm2000	0.306513901850608	3.26249476438883	Down					0	0	0	0					0	0	0	0
