baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	foldChange	absFoldChange	regulation	val.sig.up	val.sig.down	val.nsig.up	val.nsig.down	pred.sig.up	pred.sig.down	pred.nsig.up	pred.nsig.down	val.sig.up.freq	val.sig.down.freq	val.nsig.up.freq	val.nsig.down.freq	pred.sig.up.freq	pred.sig.down.freq	pred.nsig.up.freq	pred.nsig.down.freq
mmu-miR-539-5p	10.9736482170715	-1.66779168311031	0.363278202944521	-4.59094894654336	4.41235267018274e-06	0.000526498149532171	0.314734735986103	3.1772787864259	Down			ENSMUSG00000030284,ENSMUSG00000022367,ENSMUSG00000026031,ENSMUSG00000063450,ENSMUSG00000025510,ENSMUSG00000009376,ENSMUSG00000026283,ENSMUSG00000036093,ENSMUSG00000032186,ENSMUSG00000050079	ENSMUSG00000039419,ENSMUSG00000074121,ENSMUSG00000004267,ENSMUSG00000021057,ENSMUSG00000027293,ENSMUSG00000015222,ENSMUSG00000024134,ENSMUSG00000024846,ENSMUSG00000027654,ENSMUSG00000006763	0	0	13	12	ENSMUSG00000021140	ENSMUSG00000021037	ENSMUSG00000022306,ENSMUSG00000026610,ENSMUSG00000057230,ENSMUSG00000033948,ENSMUSG00000020904,ENSMUSG00000020859,ENSMUSG00000026979,ENSMUSG00000034297,ENSMUSG00000037234,ENSMUSG00000017291	ENSMUSG00000034906,ENSMUSG00000020706,ENSMUSG00000037058,ENSMUSG00000006412,ENSMUSG00000090272,ENSMUSG00000036769,ENSMUSG00000019761,ENSMUSG00000038679,ENSMUSG00000073856,ENSMUSG00000028565	1	1	34	30
mmu-miR-434-5p	937.286333529234	-1.58954221007066	0.254360763405184	-6.24916433175898	4.12654569097875e-10	1.88583138077729e-07	0.332276873499072	3.00953836922025	Down			ENSMUSG00000085925		0	0	1	0			ENSMUSG00000021596		0	0	1	0
mmu-miR-493-5p	42.0557044612004	-1.57513536547107	0.353658388414932	-4.4538328993996	8.43507579324367e-06	0.000770965927502472	0.335611634383957	2.97963448685438	Down					0	0	0	0	ENSMUSG00000033389	ENSMUSG00000050663,ENSMUSG00000014551,ENSMUSG00000079508	ENSMUSG00000052572,ENSMUSG00000027630,ENSMUSG00000019841,ENSMUSG00000005893,ENSMUSG00000043940,ENSMUSG00000038151,ENSMUSG00000057230,ENSMUSG00000028246,ENSMUSG00000025323,ENSMUSG00000021223	ENSMUSG00000022255,ENSMUSG00000020894,ENSMUSG00000025997,ENSMUSG00000049907,ENSMUSG00000064115,ENSMUSG00000044365,ENSMUSG00000027091,ENSMUSG00000020430,ENSMUSG00000070407,ENSMUSG00000044167	1	3	55	41
mmu-miR-299a-5p	55.572233215708	-1.40284017403914	0.30617177611225	-4.58187293372471	4.60829890181332e-06	0.000526498149532171	0.378183893314164	2.64421626007558	Down					0	0	0	0			ENSMUSG00000030759,ENSMUSG00000060798,ENSMUSG00000019970,ENSMUSG00000052387,ENSMUSG00000022211,ENSMUSG00000029705,ENSMUSG00000047363,ENSMUSG00000002733,ENSMUSG00000015396,ENSMUSG00000094483	ENSMUSG00000022883,ENSMUSG00000030922,ENSMUSG00000035198,ENSMUSG00000038160,ENSMUSG00000026696,ENSMUSG00000028024,ENSMUSG00000063415,ENSMUSG00000002015,ENSMUSG00000002996	0	0	10	9
mmu-miR-673-3p	5.67891476570846	-1.34108712049415	0.364910878422448	-3.67510863554362	0.00023774822966041	0.00724339606365381	0.394723106358094	2.53342148937386	Down			ENSMUSG00000026925,ENSMUSG00000035929,ENSMUSG00000051262,ENSMUSG00000009733,ENSMUSG00000016831		0	0	5	0		ENSMUSG00000020903	ENSMUSG00000027630,ENSMUSG00000030035,ENSMUSG00000025607,ENSMUSG00000024371,ENSMUSG00000036529,ENSMUSG00000007610,ENSMUSG00000042404,ENSMUSG00000020745,ENSMUSG00000042529,ENSMUSG00000022855	ENSMUSG00000029135,ENSMUSG00000034566,ENSMUSG00000051306,ENSMUSG00000032624,ENSMUSG00000056486,ENSMUSG00000061079,ENSMUSG00000030787,ENSMUSG00000027952,ENSMUSG00000001288,ENSMUSG00000041417	0	1	19	16
mmu-miR-31-5p	22.6651846502616	1.32530295503824	0.358068537102739	3.70125497694309	0.000214535759871268	0.00720907865343143	2.50585503259102	2.50585503259102	Up	ENSMUSG00000022272	ENSMUSG00000059602	ENSMUSG00000032508,ENSMUSG00000003452,ENSMUSG00000018654,ENSMUSG00000039813,ENSMUSG00000045103,ENSMUSG00000021732,ENSMUSG00000021959,ENSMUSG00000000489,ENSMUSG00000021109	ENSMUSG00000021572,ENSMUSG00000022052,ENSMUSG00000022442,ENSMUSG00000049791,ENSMUSG00000007815,ENSMUSG00000073700	1	1	9	6	ENSMUSG00000041115	ENSMUSG00000015994	ENSMUSG00000055485,ENSMUSG00000051351,ENSMUSG00000024736,ENSMUSG00000029104,ENSMUSG00000022436,ENSMUSG00000052727,ENSMUSG00000014846,ENSMUSG00000001334,ENSMUSG00000032380,ENSMUSG00000002028	ENSMUSG00000036256,ENSMUSG00000020485,ENSMUSG00000044991,ENSMUSG00000027091,ENSMUSG00000021094,ENSMUSG00000024985,ENSMUSG00000060733,ENSMUSG00000044405,ENSMUSG00000025144,ENSMUSG00000026245	1	1	54	29
mmu-miR-412-5p	4.13021252922869	-1.30300428813966	0.363647917257525	-3.58314794696573	0.000339478201681442	0.00861897434268995	0.405281355318262	2.46742167355494	Down				ENSMUSG00000037331,ENSMUSG00000036552	0	0	0	2				ENSMUSG00000020290,ENSMUSG00000049100	0	0	0	2
mmu-miR-299b-5p	47.1104417144631	-1.29677340044999	0.310094538406128	-4.18186468912141	2.89128030213199e-05	0.00188759299724903	0.407035519297159	2.45678805065153	Down					0	0	0	0					0	0	0	0
mmu-miR-146a-5p	1080.07696927879	1.27705300850946	0.293216425611612	4.3553256126279	1.32869260570101e-05	0.00101202086800894	2.42343436274369	2.42343436274369	Up			ENSMUSG00000002983,ENSMUSG00000052727,ENSMUSG00000060477,ENSMUSG00000026923,ENSMUSG00000047875,ENSMUSG00000027164,ENSMUSG00000020641,ENSMUSG00000025915,ENSMUSG00000025969,ENSMUSG00000010122	ENSMUSG00000024778,ENSMUSG00000031392,ENSMUSG00000006471,ENSMUSG00000028496	0	0	15	4	ENSMUSG00000025019		ENSMUSG00000027164,ENSMUSG00000028111,ENSMUSG00000027177,ENSMUSG00000021047,ENSMUSG00000024277,ENSMUSG00000020482,ENSMUSG00000026491,ENSMUSG00000021279,ENSMUSG00000031871,ENSMUSG00000001555	ENSMUSG00000020794,ENSMUSG00000040253,ENSMUSG00000014873,ENSMUSG00000063882,ENSMUSG00000074829,ENSMUSG00000026915,ENSMUSG00000052656,ENSMUSG00000031392,ENSMUSG00000021097,ENSMUSG00000016382	1	0	10	11
mmu-miR-665-5p	16.3052929259857	-1.2115207996571	0.365205128462625	-3.31737071918225	0.000908689579908663	0.0168595410541557	0.431813184967902	2.31581627150716	Down					0	0	0	0			ENSMUSG00000022623,ENSMUSG00000029168,ENSMUSG00000029705,ENSMUSG00000046691,ENSMUSG00000058975	ENSMUSG00000013921,ENSMUSG00000001985	0	0	5	2
