baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	foldChange	absFoldChange	regulation	val.sig.up	val.sig.down	val.nsig.up	val.nsig.down	pred.sig.up	pred.sig.down	pred.nsig.up	pred.nsig.down	val.sig.up.freq	val.sig.down.freq	val.nsig.up.freq	val.nsig.down.freq	pred.sig.up.freq	pred.sig.down.freq	pred.nsig.up.freq	pred.nsig.down.freq
mmu-miR-376c-5p	30.1972783292666	-1.23846770287158	0.359649770379813	-3.44353814424428	0.000574155595745083	0.0366382142453497	0.423822562308919	2.3594779724613	Down					0	0	0	0					0	0	0	0
mmu-miR-434-5p	937.286333529234	-1.11221139773091	0.267596551018261	-4.15629944967045	3.23443834414864e-05	0.00909468142775928	0.462584426676312	2.1617675441109	Down					0	0	0	0					0	0	0	0
mmu-miR-329-5p	48.4937277839645	-1.09312647428407	0.273834704908819	-3.99192087302469	6.5540243418679e-05	0.00909468142775928	0.468744453807223	2.13335857497156	Down					0	0	0	0			ENSMUSG00000041957		0	0	1	0
mmu-miR-136-5p	83.5930153106231	-1.08761118309604	0.366922789477592	-2.96414181480668	0.00303528370792556	0.0971290786536178	0.470539850613632	2.12521850953941	Down			ENSMUSG00000051335	ENSMUSG00000027858,ENSMUSG00000025019,ENSMUSG00000031608,ENSMUSG00000042599	0	0	1	4					0	0	0	0
mmu-miR-369-5p	92.4919385712724	-1.06652701624508	0.358300528511853	-2.97662696919464	0.00291438376227419	0.0971290786536178	0.477467017712075	2.09438550288101	Down					0	0	0	0					0	0	0	0
mmu-miR-133a-3p	16755.935930649	0.846054420474792	0.230023100121314	3.67812806639238	0.000234951989304105	0.0225553909731941	1.79757805910179	1.79757805910179	Up				ENSMUSG00000000184	0	0	0	1				ENSMUSG00000052331,ENSMUSG00000051323,ENSMUSG00000102976	0	0	0	3
mmu-miR-1a-2-5p	3664646.25946696	-0.787925203113929	0.264200589761702	-2.98229918345226	0.00286092268091833	0.0971290786536178	0.579176429866145	1.72658959935768	Down					0	0	0	0					0	0	0	0
mmu-miR-1a-1-5p	3664612.77007199	-0.787921454556276	0.264200473345895	-2.98228630924789	0.00286104300088241	0.0971290786536178	0.579177934743474	1.72658511316201	Down					0	0	0	0					0	0	0	0
mmu-miR-107-5p	7561.36019339549	0.4707597315616	0.118497654166122	3.97273460706355	7.10521986543693e-05	0.00909468142775928	1.38583906686509	1.38583906686509	Up					0	0	0	0					0	0	0	0
mmu-miR-103-1-5p	10312.8131556078	0.414754062446888	0.123001756807059	3.37193608622578	0.000746417678335346	0.0366382142453497	1.33307140780899	1.33307140780899	Up					0	0	0	0					0	0	0	0
mmu-miR-103-5p	10312.8131556078	0.414754062446888	0.123001756807059	3.37193608622578	0.000746417678335346	0.0366382142453497	1.33307140780899	1.33307140780899	Up					0	0	0	0					0	0	0	0
mmu-miR-103-2-5p	10333.262416108	0.413810619856785	0.122946696806605	3.36577257140718	0.000763296130111452	0.0366382142453497	1.33219993797617	1.33219993797617	Up					0	0	0	0					0	0	0	0
